Jucator: 0,name,rating,card_type,position,nation,league,team,PAC,SHO,PAS,DRI,DEF,PHY
1214,Andrej Kramarić,87,world-cup-star,CF,Croatia,Bundesliga,TSG Hoffenheim,85,86,83,87,39,82
1215,Rodri,87,world-cup-player,CDM,Spain,World Cup,Spain,58,72,78,79,83,84
1216,Trent Alexander-Arnold,87,world-cup-player,RB,England,World Cup,England,76,69,89,80,80,73
1217,Fabinho,87,world-cup-player,CDM,Brazil,World Cup,Brazil,66,69,78,77,86,83
1218,Frenkie de Jong,87,world-cup-player,CM,Netherlands,World Cup,Holland,82,69,86,87,77,78
1219,Thomas Müller,87,world-cup-player,CAM,Germany,World Cup,Germany,69,84,83,80,56,71
1220,Antonio Rüdiger,87,world-cup-player,CB,Germany,World Cup,Germany,82,53,71,67,86,85
1221,Denis Zakaria,87,world-cup-path-to-glory,CDM,Switzerland,Premier League,Chelsea,86,72,82,82,86,89
1222,Ansu Fati,87,out-of-position,ST,Spain,LaLiga Santander,FC Barcelona,92,85,81,87,36,63
1223,Fred,87,out-of-position,LM,Brazil,Premier League,Manchester Utd,88,80,84,88,65,78
1224,Mauro Icardi,87,out-of-position,LW,Argentina,Süper Lig,Galatasaray,87,85,82,86,43,81
1225,Federico Chiesa,87,out-of-position,RW,Italy,Serie A TIM,Juventus,93,85,81,89,51,77
1226,Cody Gakpo,87,potm-eredivisie,LW,Netherlands,Eredivisie,PSV,90,86,83,88,45,80
1227,Davinson Sánchez,87,rulebreakers,CB,Colombia,Premier League,Spurs,80,52,71,63,87,86
1228,Leonardo Bonucci,87,rulebreakers,CB,Italy,Serie A TIM,Juventus,78,63,72,68,87,85
1229,Kalvin Phillips,87,rulebreakers,CDM,England,Premier League,Manchester City,75,73,84,83,88,80
1231,Nicolò Barella,87,team-of-the-week,CM,Italy,Serie A TIM,Inter,80,78,84,85,79,82
1232,Lautaro Martínez,87,team-of-the-week,ST,Argentina,Serie A TIM,Inter,84,85,74,86,49,85
1233,Nabil Fekir,87,rulebreakers,CAM,France,LaLiga Santander,Real Betis,85,85,88,84,40,83
1234,Sávio,87,uel-road-to-the-knockouts,RW,Brazil,Eredivisie,PSV,90,86,88,89,42,65
1235,João Mário,87,ucl-road-to-the-knockouts,CM,Portugal,Liga Portugal,SL Benfica,83,83,88,89,74,75
1236,Lorenzo Insigne,87,rulebreakers,LW,Italy,Major League Soccer,Toronto FC,90,85,87,86,40,51
1237,Joe Cole,87,fut-heroes,RW,England,Premier League,HERO,88,84,86,90,51,72
1238,Tomas Brolin,87,fut-heroes,ST,Sweden,Serie A TIM,HERO,87,88,83,90,59,69
1239,Yaya Touré,87,fut-heroes,CDM,Ivory Coast,Premier League,HERO,78,83,86,84,80,89
1240,Iván Córdoba,87,fut-heroes,CB,Colombia,Serie A TIM,HERO,86,63,65,68,90,87
1241,Claudio Marchisio,87,fut-heroes,CM,Italy,Serie A TIM,HERO,82,81,85,86,80,82
1242,Harry Kewell,87,fut-heroes,LW,Australia,Premier League,HERO,90,85,88,88,52,69
1243,Hidetoshi Nakata,87,fut-heroes,CAM,Japan,Serie A TIM,HERO,85,84,85,86,62,65
1244,Sergej Milinković-Savić,87,team-of-the-week,CM,Serbia,Serie A TIM,Latium,70,82,83,83,80,87
1245,Patrik Schick,87,ucl-road-to-the-knockouts,ST,Czech Republic,Bundesliga,Leverkusen,82,87,74,85,38,79
1246,Ibrahima Konaté,87,ucl-road-to-the-knockouts,CB,France,Premier League,Liverpool,84,40,66,76,88,86
1247,Dejan Kulusevski,87,ucl-road-to-the-knockouts,RW,Sweden,Premier League,Spurs,86,85,86,88,62,83
1248,Lucas Paquetá,87,uecl-road-to-the-knockouts,CAM,Brazil,Premier League,West Ham,80,84,85,90,76,84
1249,Ismaël Bennacer,87,ucl-road-to-the-knockouts,CDM,Algeria,Serie A TIM,Milan,83,74,86,91,84,83
1250,André-Franck Zambo An...,87,ucl-road-to-the-knockouts,CDM,Cameroon,Serie A TIM,Napoli,84,77,80,88,87,90
1251,Aaron Wan-Bissaka,87,uel-road-to-the-knockouts,RB,England,Premier League,Manchester Utd,90,57,75,83,86,83
1252,Darwin Núñez,87,ones-to-watch,ST,Uruguay,Premier League,Liverpool,94,87,76,85,47,91
1253,Corentin Tolisso,87,ones-to-watch,CM,France,Ligue 1 Uber Eats,OL,77,85,83,86,84,83
1254,Ian Wright,87,icon,ST,England,Icons,Icons,85,89,69,82,40,75
1255,Luis Hernández,87,icon,ST,Mexico,Icons,Icons,91,87,73,87,47,68
1256,Davor Šuker,87,icon,ST,Croatia,Icons,Icons,86,90,80,89,42,76
1257,Didier Drogba,87,icon,ST,Ivory Coast,Icons,Icons,88,87,71,80,43,86
1258,Samuel Eto'o,87,icon,ST,Cameroon,Icons,Icons,94,89,78,86,43,80
1259,Ian Rush,87,icon,ST,Wales,Icons,Icons,86,88,70,83,41,79
1260,Hugo Sánchez,87,icon,ST,Mexico,Icons,Icons,88,88,78,86,43,70
1261,Emilio Butragueño,87,icon,ST,Spain,Icons,Icons,90,86,75,89,40,64
1262,Alessandro Del Piero,87,icon,CF,Italy,Icons,Icons,88,88,84,89,40,70
1263,Hristo Stoichkov,87,icon,ST,Bulgaria,Icons,Icons,87,88,85,87,44,81
1264,Henrik Larsson,87,icon,ST,Sweden,Icons,Icons,85,84,77,82,44,71
1265,Kenny Dalglish,87,icon,ST,Scotland,Icons,Icons,87,88,74,88,40,70
1266,Alan Shearer,87,icon,ST,England,Icons,Icons,76,88,76,76,53,84
1267,Hernán Crespo,87,icon,ST,Argentina,Icons,Icons,86,88,71,86,40,72
1268,Miroslav Klose,87,icon,ST,Germany,Icons,Icons,77,85,73,78,41,70
1269,Gianfranco Zola,87,icon,CF,Italy,Icons,Icons,88,87,85,90,41,64
1270,Gary Lineker,87,icon,ST,England,Icons,Icons,84,88,70,81,40,75
1271,Robin van Persie,87,icon,ST,Netherlands,Icons,Icons,87,89,84,90,42,73
1272,Dennis Bergkamp,87,icon,CF,Netherlands,Icons,Icons,76,85,85,87,39,73
1273,John Barnes,87,icon,LW,England,Icons,Icons,88,83,82,87,40,82
1274,Thierry Henry,87,icon,LW,France,Icons,Icons,93,82,79,87,43,68
1275,Xabi Alonso,87,icon,CDM,Spain,Icons,Icons,67,78,85,78,83,81
1276,Kaká,87,icon,CAM,Brazil,Icons,Icons,88,80,83,90,41,67
1277,Claude Makélélé,87,icon,CDM,France,Icons,Icons,78,47,77,77,86,85
1278,Rivaldo,87,icon,CAM,Brazil,Icons,Icons,86,87,85,88,42,76
1279,Juan Román Riquelme,87,icon,CAM,Argentina,Icons,Icons,68,82,89,90,29,66
1280,David Beckham,87,icon,CM,England,Icons,Icons,78,84,92,85,71,78
1281,Paul Scholes,87,icon,CM,England,Icons,Icons,68,83,90,78,66,76
1282,Bastian Schweinsteiger,87,icon,LM,Germany,Icons,Icons,80,86,84,85,70,80
1283,Gennaro Gattuso,87,icon,CDM,Italy,Icons,Icons,74,62,68,70,87,90
1284,Michaël Essien,87,icon,CDM,Ghana,Icons,Icons,77,71,80,80,86,85
1285,Sócrates,87,icon,CAM,Brazil,Icons,Icons,80,86,87,87,47,82
1286,Bobby Moore,87,icon,CB,England,Icons,Icons,70,60,78,73,90,83
1287,Sol Campbell,87,icon,CB,England,Icons,Icons,82,44,58,55,87,87
1288,Gianluca Zambrotta,87,icon,LB,Italy,Icons,Icons,87,70,82,82,86,85
1289,Marcel Desailly,87,icon,CB,France,Icons,Icons,84,47,61,61,85,87
1290,Ashley Cole,87,icon,LB,England,Icons,Icons,85,65,82,81,86,75
1291,Philipp Lahm,87,icon,LB,Germany,Icons,Icons,88,70,82,86,85,70
1292,Carlos Alberto,87,icon,CB,Brazil,Icons,Icons,82,62,80,80,88,83
1293,Fabio Cannavaro,87,icon,CB,Italy,Icons,Icons,82,42,60,68,90,81
1294,Javier Zanetti,87,icon,LB,Argentina,Icons,Icons,88,59,82,80,83,80
1295,Marco Verratti,87,rare,CM,Italy,Ligue 1 Uber Eats,Paris SG,60,61,87,91,79,66
1296,Andrew Robertson,87,rare,LB,Scotland,Premier League,Liverpool,80,61,81,81,82,76
1297,Fabinho,87,rare,CDM,Brazil,Premier League,Liverpool,66,69,78,77,86,83
1298,Rodri,87,rare,CDM,Spain,Premier League,Manchester City,58,72,78,79,83,84
1299,Thomas Müller,87,rare,CAM,Germany,Bundesliga,FC Bayern München,69,84,83,80,56,71
1300,Frenkie de Jong,87,rare,CM,Netherlands,LaLiga Santander,FC Barcelona,82,69,86,87,77,78
1301,Trent Alexander-Arnold,87,rare,RB,England,Premier League,Liverpool,76,69,89,80,80,73
1302,Leon Goretzka,87,rare,CM,Germany,Bundesliga,FC Bayern München,78,82,82,83,81,86
1303,Kalidou Koulibaly,87,rare,CB,Senegal,Premier League,Chelsea,82,33,59,68,88,85
1304,Antonio Rüdiger,87,rare,CB,Germany,LaLiga Santander,Real Madrid,82,53,71,67,86,85
1305,Erik Lamela,86,uefa-europa-league-motm,RW,Argentina,LaLiga Santander,Sevilla FC,77,84,86,91,60,77
1306,Nicolás González,86,uecl-motm,RW,Argentina,Serie A TIM,Fiorentina,93,81,80,90,50,70
1307,Ibrahim Sadiq,86,domestic-man-of-the-match,RW,Ghana,Allsvenskan,BK Häcken,97,78,77,90,47,80
1308,Monnapule Saleng,86,domestic-man-of-the-match,RM,South Africa,South African FL,Orlando Pirates,99,88,75,90,60,78
1309,Jamie Maclaren,86,team-of-the-week,ST,Australia,A-League,Melbourne City,93,87,80,86,50,87
1310,Mattias Svanberg,86,team-of-the-week,CM,Sweden,Bundesliga,VfL Wolfsburg,87,80,86,88,74,82
1311,John Stones,86,team-of-the-week,CB,England,Premier League,Manchester City,76,54,75,80,87,82
1312,Frank Lampard,86,special-item,CM,England,Icons,Icons,75,86,85,82,70,76
1313,Fernando Torres,86,special-item,ST,Spain,Icons,Icons,88,85,73,86,42,77
1314,Franck Honorat,86,team-of-the-week,RW,France,Ligue 1 Uber Eats,Stade Brestois 29,90,85,82,86,58,72
1315,Stefan Posch,86,team-of-the-week,RB,Austria,Serie A TIM,Bologna,87,40,62,57,89,84
1316,Gabriel Jesus,86,team-of-the-week,ST,Brazil,Premier League,Arsenal,87,85,79,89,43,79
1317,Matías Fernández,86,ni-uaccaue,RM,Chile,CONMEBOL Libertadores,Independiente DV,93,75,80,88,81,82
1318,Marcos Rojo,86,ni-uaccaue,CB,Argentina,CONMEBOL Libertadores,Boca Juniors,85,68,75,78,85,92
1319,Nicolás De la Cruz,86,ni-uaccaue,CM,Uruguay,CONMEBOL Libertadores,River Plate,87,84,85,90,79,80
1320,Joakim Mæhle,86,fut-birthday,RWB,Denmark,Serie A TIM,Bergamo Calcio,94,70,82,85,82,86
1321,Joakim Mæhle,86,fut-birthday,RWB,Denmark,Serie A TIM,Bergamo Calcio,94,70,82,85,82,86
1322,Piotr Zieliński,86,uefa-champions-league-motm,CM,Poland,Serie A TIM,Napoli,85,81,85,89,74,65
1323,Theo Hernández,86,team-of-the-week,LB,France,Serie A TIM,Milan,94,73,78,82,80,84
1324,Kieran Trippier,86,team-of-the-week,RB,England,Premier League,Newcastle Utd,73,66,84,80,82,75
1325,Jesse Lingard,86,fut-birthday,RW,England,Premier League,Nott'm Forest,88,85,84,88,61,72
1326,Djibril Sow,86,fut-birthday,CM,Switzerland,Bundesliga,Frankfurt,87,76,83,85,84,86
1327,Yeray,86,fut-birthday,CB,Spain,LaLiga Santander,Athletic Club,80,55,70,81,88,85
1328,Thiago Almada,86,team-of-the-week,CAM,Argentina,Major League Soccer,Atlanta United,90,82,81,91,61,72
1329,Alex Oxlade-Chamberlain,86,vfua1,CM,England,Premier League,Liverpool,85,83,84,95,76,83
1330,Dejan Kulusevski,86,vfua1,RW,Sweden,Premier League,Spurs,84,83,84,88,61,81
1331,Luis Díaz,86,vfua1,LW,Colombia,Premier League,Liverpool,92,83,80,88,35,79
1332,Jean-Eudes Aholou,86,team-of-the-week,CDM,Ivory Coast,Ligue 1 Uber Eats,Strasbourg,77,72,80,81,85,88
1333,Adrien Rabiot,86,team-of-the-week,CM,France,Serie A TIM,Juventus,82,81,84,86,83,85
1334,Khvicha Kvaratskhelia,86,potm-serie-a,LW,Georgia,Serie A TIM,Napoli,90,80,83,88,50,78
1335,Nick Lima,86,fantasy-fut,RB,United States,Major League Soccer,Austin FC,90,76,81,85,81,87
1336,Yannick Gerhardt,86,team-of-the-week,CM,Germany,Bundesliga,VfL Wolfsburg,83,79,85,86,84,86
1337,Gabri Veiga,86,potm-laliga-santander,CM,Spain,LaLiga Santander,RC Celta,86,83,85,89,71,81
1338,Antonio Candreva,86,team-of-the-week,CF,Italy,Serie A TIM,Salernitana,80,86,87,87,67,69
1339,Riccardo Orsolini,86,team-of-the-week,RM,Italy,Serie A TIM,Bologna,90,83,85,91,50,77
1340,José María Giménez,86,team-of-the-week,CB,Uruguay,LaLiga Santander,Atlético de Madrid,75,50,61,64,88,86
1341,Connor Roberts,86,team-of-the-week,RB,Wales,EFL Championship,Burnley,89,64,81,82,83,86
1342,Cristian Romero,86,team-of-the-week,CB,Argentina,Premier League,Spurs,78,50,60,68,88,86
1343,Junior Firpo,86,team-of-the-week,LB,Spain,Premier League,Leeds United,89,74,81,83,84,86
1344,Martin Braithwaite,86,team-of-the-week,ST,Denmark,LaLiga Santander,RCD Espanyol,89,86,84,88,47,85
1345,Miloš Degenek,86,world-cup-path-to-glory,CB,Australia,Major League Soccer,Columbus Crew,83,66,75,68,84,88
1346,Aaron Ramsey,86,world-cup-path-to-glory,CM,Wales,Ligue 1 Uber Eats,OGC Nice,77,82,86,87,79,78
1347,Facundo Medina,86,team-of-the-week,CB,Argentina,Ligue 1 Uber Eats,RC Lens,83,43,70,78,86,86
1348,Emil Forsberg,86,uefa-champions-league-road-to-the-final,CAM,Sweden,Bundesliga,RB Leipzig,84,85,89,89,40,72
1349,Nuno Mendes,86,uefa-champions-league-road-to-the-final,LB,Portugal,Ligue 1 Uber Eats,Paris SG,95,65,80,84,81,80
1350,Jeremie Frimpong,86,team-of-the-week,RWB,Netherlands,Bundesliga,Leverkusen,96,61,80,89,81,79
1351,Nuno Tavares,86,fut-future-stars,LB,Portugal,Ligue 1 Uber Eats,OM,90,67,78,86,78,84
1352,Nicolò Rovella,86,fut-future-stars,CM,Italy,Serie A TIM,AC Monza,77,72,82,82,82,75
1353,Jacob Ramsey,86,fut-future-stars,CM,England,Premier League,Aston Villa,82,79,80,86,76,82
1354,Iker Bravo,86,fut-future-stars,ST,Spain,LaLiga Santander,Real Madrid,89,87,77,85,40,79
1355,Gonzalo Plata,86,fut-future-stars,RM,Ecuador,LaLiga SmartBank,R. Valladolid CF,95,81,82,88,48,79
1356,Pierre-Emile Højbjerg,86,team-of-the-week,CM,Denmark,Premier League,Spurs,60,76,80,81,83,86
1357,Rúben Neves,86,team-of-the-week,CM,Portugal,Premier League,Wolves,62,78,89,81,80,76
1358,Djed Spence,86,fut-future-stars,RWB,England,Ligue 1 Uber Eats,Stade Rennais FC,92,50,75,86,85,83
1359,Wilfried Singo,86,fut-future-stars,RWB,Ivory Coast,Serie A TIM,Torino,90,65,77,86,83,85
1360,Jesper Lindstrøm,86,fut-future-stars,LM,Denmark,Bundesliga,Frankfurt,92,82,81,86,60,75
1361,Luis Alberto,86,team-of-the-week,CM,Spain,Serie A TIM,Latium,59,80,89,86,60,60
1362,Krépin Diatta,86,team-of-the-week,RM,Senegal,Ligue 1 Uber Eats,AS Monaco,96,83,81,88,60,80
1363,Joselu,86,team-of-the-week,ST,Spain,LaLiga Santander,RCD Espanyol,70,87,76,82,38,81
1364,Séamus Coleman,86,fut-centurions,RB,Republic of Ireland,Premier League,Everton,87,72,84,87,88,84
1365,Divock Origi,86,showdown,ST,Belgium,Serie A TIM,Milan,91,86,78,86,37,84
1366,Christian Günter,86,fut-centurions,LB,Germany,Bundesliga,SC Freiburg,87,66,82,82,86,88
1367,Cristiano Biraghi,86,fut-centurions,LB,Italy,Serie A TIM,Fiorentina,86,73,87,86,86,85
1368,Ledley King,86,fut-heroes,CB,England,Premier League,HERO,80,55,69,72,89,80
1369,Lorenzo Pellegrini,86,fut-centurions,CAM,Italy,Serie A TIM,Roma FC,84,80,86,86,76,81
1370,Presnel Kimpembe,86,fut-centurions,CB,France,Ligue 1 Uber Eats,Paris SG,83,46,73,73,86,90
1371,Alessandro Bastoni,86,fut-centurions,CB,Italy,Serie A TIM,Inter,78,36,73,76,88,85
1372,James Milner,86,fut-centurions,CM,England,Premier League,Liverpool,75,77,87,85,84,82
1373,Pau Torres,86,team-of-the-week,CB,Spain,LaLiga Santander,Villarreal CF,77,41,72,75,87,85
1374,André Hahn,86,winter-wildcards,ST,Germany,Bundesliga,FC Augsburg,86,86,81,85,67,99
1375,Noah Fadiga,86,winter-wildcards,LW,Belgium,Ligue 1 Uber Eats,Stade Brestois 29,92,85,81,86,62,79
1376,Fábio,86,winter-wildcards,RB,Brazil,Ligue 1 Uber Eats,FC Nantes,90,67,82,86,82,81
1377,Jean-Ricner Bellegarde,86,winter-wildcards,CM,France,Ligue 1 Uber Eats,Strasbourg,87,75,83,86,82,82
1378,Adama Traoré,86,winter-wildcards,ST,Spain,Premier League,Wolves,97,82,75,89,43,86
1379,Brahim,86,winter-wildcards,CAM,Spain,Serie A TIM,Milan,86,83,84,90,38,61
1380,Ahmed Musa,86,winter-wildcards,ST,Nigeria,Süper Lig,Sivasspor,99,83,78,85,33,69
1381,Maxim Gullit,86,winter-wildcards,CM,Netherlands,Eredivisie,SC Cambuur,80,80,86,82,83,78
1382,Reece Oxford,86,winter-wildcards,CDM,England,Bundesliga,FC Augsburg,85,70,82,78,86,84
1383,Virgil van Dijk,86,fk8amxu,CB,Netherlands,Premier League,Liverpool,77,56,66,67,87,82
1384,Kylian Mbappé,86,fk8amxu,ST,France,Ligue 1 Uber Eats,Paris SG,92,84,74,87,31,70
1385,Mesut Özil,86,winter-wildcards,CAM,Germany,Süper Lig,Başakşehir,80,82,90,86,30,60
1386,Jeremy Toljan,86,winter-wildcards,RB,Germany,Serie A TIM,Sassuolo,91,51,75,79,85,83
1387,Alexandre Pato,86,winter-wildcards,ST,Brazil,Major League Soccer,Orlando City,87,85,78,85,40,73
1388,Justin Kluivert,86,winter-wildcards,LW,Netherlands,LaLiga Santander,Valencia CF,92,82,81,89,45,72
1389,Lukas Klostermann,86,winter-wildcards,CB,Germany,Bundesliga,RB Leipzig,87,53,72,74,87,84
1390,Gavi,86,world-cup-team-of-the-tournament,CM,Spain,LaLiga Santander,FC Barcelona,84,72,86,90,72,76
1391,Alexis Mac Allister,86,world-cup-team-of-the-tournament,CM,Argentina,Premier League,Brighton,80,87,88,86,65,75
1392,Joško Gvardiol,86,world-cup-team-of-the-tournament,CB,Croatia,Bundesliga,RB Leipzig,86,57,78,80,85,88
1393,Dayot Upamecano,86,world-cup-showdown,CB,France,Bundesliga,FC Bayern München,84,48,70,74,86,87
1394,Nayef Aguerd,86,world-cup-showdown,CB,Morocco,Premier League,West Ham,82,57,71,72,87,85
1395,Mislav Oršić,86,world-cup-showdown,LW,Croatia,Liga Hrvatska,Dinamo Zagreb,93,86,79,83,62,69
1396,Youssouf Fofana,86,world-cup-showdown,CDM,France,Ligue 1 Uber Eats,AS Monaco,79,76,82,84,84,86
1397,Youssef En-Nesyri,86,world-cup-showdown,ST,Morocco,LaLiga Santander,Sevilla FC,86,87,70,84,40,83
1398,Enzo Fernández,86,world-cup-showdown,CM,Argentina,Liga Portugal,SL Benfica,83,80,85,86,81,87
1399,Mario Pašalić,86,world-cup-showdown,CAM,Croatia,Serie A TIM,Bergamo Calcio,83,85,86,88,70,83
1400,Daichi Kamada,86,world-cup-showdown,CAM,Japan,Bundesliga,Frankfurt,83,81,86,89,53,68
1402,Lisandro Martínez,86,world-cup-phenoms,LB,Argentina,Premier League,Manchester Utd,80,65,82,82,87,88
1403,Takefusa Kubo,86,world-cup-phenoms,CAM,Japan,LaLiga Santander,Real Sociedad,91,77,82,92,50,65
1404,Jules Koundé,86,world-cup-phenoms,CB,France,LaLiga Santander,FC Barcelona,86,46,71,76,87,82
1406,Giovanni Reyna,86,world-cup-phenoms,CAM,United States,Bundesliga,Borussia Dortmund,87,80,83,91,44,80
1407,Jonathan David,86,world-cup-phenoms,ST,Canada,Ligue 1 Uber Eats,LOSC Lille,89,87,79,85,40,79
1408,Jeremie Frimpong,86,world-cup-phenoms,RB,Netherlands,Bundesliga,Leverkusen,96,61,80,88,81,79
1409,Marcus Thuram,86,world-cup-showdown,ST,France,Bundesliga,M'gladbach,90,87,80,86,56,85
1410,Luke Shaw,86,world-cup-showdown,LB,England,Premier League,Manchester Utd,86,60,85,84,86,85
1411,Marcos Acuña,86,world-cup-showdown,LB,Argentina,LaLiga Santander,Sevilla FC,83,78,84,88,81,84
1412,Memphis Depay,86,world-cup-showdown,CF,Netherlands,LaLiga Santander,FC Barcelona,86,85,85,87,31,80
1413,Yuto Nagatomo,86,world-cup-stories,LB,Japan,World Cup,Japan,88,65,80,84,85,80
1414,Hakim Ziyech,86,world-cup-showdown,CAM,Morocco,Premier League,Chelsea,84,83,89,85,53,68
1415,Ferran Torres,86,world-cup-showdown,LW,Spain,LaLiga Santander,FC Barcelona,88,84,83,87,38,73
1416,Adrien Rabiot,86,world-cup-stories,CM,France,Serie A TIM,Juventus,83,80,83,87,82,85
1417,Simon Kjær,86,world-cup-stories,CB,Denmark,Serie A TIM,Milan,80,58,68,64,88,83
1418,Timothy Weah,86,world-cup-stories,RM,United States,Ligue 1 Uber Eats,LOSC Lille,92,82,81,86,56,75
1419,Brenden Aaronson,86,world-cup-showdown,CAM,United States,Premier League,Leeds United,93,80,82,90,65,75
1420,Steven Bergwijn,86,world-cup-showdown,ST,Netherlands,Eredivisie,Ajax,92,85,82,89,48,78
1421,Aleksandar Mitrović,86,road-to-world-cup,ST,Serbia,Premier League,Fulham,82,87,65,81,33,93
1422,Karl Toko Ekambi,86,road-to-world-cup,LM,Cameroon,Ligue 1 Uber Eats,OL,90,86,82,85,31,75
1423,Matheus Nunes,86,road-to-world-cup,CM,Portugal,Premier League,Wolves,86,77,81,89,82,83
1424,Dries Mertens,86,road-to-world-cup,CF,Belgium,Süper Lig,Galatasaray,87,85,83,90,36,56
1425,Timo Werner,86,road-to-world-cup,ST,Germany,Bundesliga,RB Leipzig,94,84,77,86,39,74
1426,Moise Kean,86,fut-champions,ST,Italy,Serie A TIM,Juventus,91,85,66,86,48,83
1427,Edin Džeko,86,fut-champions,ST,Bosnia Herzegovina,Serie A TIM,Inter,66,86,74,80,47,78
1428,Jonas Hofmann,86,fut-champions,CAM,Germany,Bundesliga,M'gladbach,80,83,85,85,70,79
1429,Iñaki Williams,86,world-cup-path-to-glory,ST,Ghana,LaLiga Santander,Athletic Club,95,83,77,83,43,87
1430,Jonas Hofmann,86,team-of-the-week,CAM,Germany,Bundesliga,M'gladbach,80,83,85,85,70,79
1431,Martin Ødegaard,86,team-of-the-week,CM,Norway,Premier League,Arsenal,79,78,88,86,60,65
1432,Edin Džeko,86,team-of-the-week,ST,Bosnia Herzegovina,Serie A TIM,Inter,66,86,74,80,47,78
1433,Moise Kean,86,team-of-the-week,ST,Italy,Serie A TIM,Juventus,91,85,66,86,48,83
1434,James Maddison,86,fut-champions,RM,England,Premier League,Leicester City,79,83,88,89,59,67
1435,Enner Valencia,86,world-cup-star,ST,Ecuador,Süper Lig,Fenerbahçe,94,83,76,82,56,86
1436,Ronald Araujo,86,world-cup-path-to-glory,CB,Uruguay,LaLiga Santander,FC Barcelona,81,53,71,70,85,85
1437,Kieran Trippier,86,team-of-the-week,RB,England,Premier League,Newcastle Utd,73,66,84,80,82,75
1438,Andrés Guardado,86,world-cup-star,CDM,Mexico,LaLiga Santander,Real Betis,79,78,86,85,83,82
1439,Sergej Milinković-Savić,86,world-cup-player,CM,Serbia,World Cup,Serbia,68,80,82,82,79,86
1440,Vinícius Jr.,86,world-cup-player,LW,Brazil,World Cup,Brazil,95,79,74,90,29,67
1441,Thiago Silva,86,world-cup-player,CB,Brazil,World Cup,Brazil,49,54,73,72,87,76
1442,Paulo Dybala,86,world-cup-player,CF,Argentina,World Cup,Argentina,80,85,85,90,40,59
1443,Aymeric Laporte,86,world-cup-player,CB,Spain,World Cup,Spain,61,50,72,69,86,79
1444,Marcelo Brozović,86,world-cup-player,CDM,Croatia,World Cup,Croatia,69,74,81,81,81,78
1445,Peter Crouch,86,world-cup-hero,ST,England,Premier League,HERO,78,88,76,80,53,81
1446,Raheem Sterling,86,world-cup-player,LW,England,World Cup,England,90,80,78,86,45,67
1447,Bruno Fernandes,86,world-cup-player,CAM,Portugal,World Cup,Portugal,72,86,88,81,67,76
1448,Kieran Trippier,86,fut-champions,RB,England,Premier League,Newcastle Utd,73,66,84,80,82,75
1449,Kingsley Coman,86,world-cup-player,LM,France,World Cup,France,92,77,79,87,30,62
1450,Theo Hernández,86,team-of-the-week,LB,France,Serie A TIM,Milan,94,73,78,82,80,84
1451,Eric Maxim Choupo-Moting,86,world-cup-path-to-glory,ST,Cameroon,Bundesliga,FC Bayern München,86,87,78,87,45,82
1452,Xherdan Shaqiri,86,world-cup-star,CAM,Switzerland,Major League Soccer,Chicago Fire FC,80,82,84,86,50,74
1453,Thiago,86,world-cup-player,CM,Spain,World Cup,Spain,61,72,87,90,72,69
1454,Matías Viña,86,world-cup-star,LWB,Uruguay,Serie A TIM,Roma FC,89,70,78,85,82,83
1455,Christopher Nkunku,86,world-cup-player,CF,France,World Cup,France,88,81,83,88,65,66
1456,Lautaro Martínez,86,world-cup-player,ST,Argentina,World Cup,Argentina,83,83,72,85,48,84
1457,Thomas Delaney,86,world-cup-path-to-glory,CDM,Denmark,LaLiga Santander,Sevilla FC,76,74,80,81,87,86
1458,Kim Min Jae,86,world-cup-path-to-glory,CB,Korea Republic,Serie A TIM,Napoli,85,38,68,72,85,89
1459,James Maddison,86,team-of-the-week,RM,England,Premier League,Leicester City,79,83,88,89,59,67
1460,Moussa Diaby,86,team-of-the-week,CF,France,Bundesliga,Leverkusen,95,76,78,89,44,61
1461,Stefan de Vrij,86,fut-champions,CB,Netherlands,Serie A TIM,Inter,70,43,68,71,89,82
1462,Domenico Berardi,86,out-of-position,CF,Italy,Serie A TIM,Sassuolo,86,86,83,87,62,78
1463,Hamari Traoré,86,out-of-position,CDM,Mali,Ligue 1 Uber Eats,Stade Rennais FC,90,78,82,82,81,84
1464,Ross Barkley,86,out-of-position,RW,England,Ligue 1 Uber Eats,OGC Nice,90,84,85,86,63,79
1465,Ross Barkley,86,out-of-position,ST,England,Ligue 1 Uber Eats,OGC Nice,86,88,84,85,61,81
1466,Seko Fofana,86,out-of-position,CB,Ivory Coast,Ligue 1 Uber Eats,RC Lens,82,76,80,84,82,89
1467,Oleksandr Zinchenko,86,out-of-position,CM,Ukraine,Premier League,Arsenal,77,75,86,87,84,78
1468,Jonathan Ikoné,86,uecl-road-to-the-knockouts,RW,France,Serie A TIM,Fiorentina,97,80,83,91,43,70
1469,Stefan de Vrij,86,team-of-the-week,CB,Netherlands,Serie A TIM,Inter,70,43,68,71,89,82
1470,Rodrigo Bentancur,86,team-of-the-week,CM,Uruguay,Premier League,Spurs,75,70,86,87,85,84
1471,Jesús Navas,86,rulebreakers,RB,Spain,LaLiga Santander,Sevilla FC,88,72,79,84,83,79
1472,Fikayo Tomori,86,team-of-the-week,CB,England,Serie A TIM,Milan,87,43,63,69,87,83
1473,Mason Mount,86,team-of-the-week,CAM,England,Premier League,Chelsea,77,84,87,84,57,70
1474,Pedri,86,team-of-the-week,CM,Spain,LaLiga Santander,FC Barcelona,80,69,83,88,69,74
